,Company Name,Year,Previous,Patent word,Following
0,Intel,2014,regard,patents,copyrights
1,Intel,2014,use,patent,rights
2,Intel,2014,license,patents,settle
3,Intel,2014,licenses,patents,current
4,Intel,2014,exhaust,patent,rights
5,Intel,2014,license,patents,companies
6,Intel,2014,licenses,patents,little
7,Intel,2014,certain,patents,others
8,Intel,2014,protecting,patents,may
9,Intel,2014,acquired,patent,portfolios
10,Intel,2014,licensing,patents,unfavorable
11,Intel,2015,regard,patents,copyrights
12,Intel,2015,use,patent,rights
13,Intel,2015,license,patents,settle
14,Intel,2015,licenses,patents,current
15,Intel,2015,exhaust,patent,rights
16,Intel,2015,license,patents,companies
17,Intel,2015,licenses,patents,little
18,Intel,2015,certain,patents,others
19,Intel,2015,protecting,patents,may
20,Intel,2015,acquired,patent,portfolios
21,Intel,2015,licensing,patents,unfavorable
22,Intel,2017,regard,patents,copyrights
23,Intel,2017,use,patent,rights
24,Intel,2017,license,patents,settle
25,Intel,2017,licenses,patents,current
26,Intel,2017,exhaust,patent,rights
27,Intel,2017,license,patents,companies
28,Intel,2017,licenses,patents,little
29,Intel,2017,certain,patents,others
30,Intel,2017,protecting,patents,may
31,Intel,2017,aggregated,patents,acquired
32,Intel,2017,large,patent,portfolio
33,Intel,2017,licensing,patents,unfavorable
34,Intel,2016,regard,patents,copyrights
35,Intel,2016,use,patent,rights
36,Intel,2016,license,patents,settle
37,Intel,2016,licenses,patents,current
38,Intel,2016,exhaust,patent,rights
39,Intel,2016,license,patents,companies
40,Intel,2016,licenses,patents,little
41,Intel,2016,certain,patents,others
42,Intel,2016,protecting,patents,may
43,Intel,2016,acquired,patent,portfolios
44,Intel,2016,licensing,patents,unfavorable
45,Apple,2018,number,patents,copyrights
46,Apple,2018,numerous,patents,trademarks
47,Apple,2018,allegations,patent,infringement
48,Apple,2018,number,patent,claims
49,Apple,2018,assert,patents,seek
50,Apple,2018,allegations,patent,infringement
51,Apple,2015,number,patents,copyrights
52,Apple,2015,numerous,patents,trademarks
53,Apple,2015,allegations,patent,infringement
54,Apple,2015,addition,patent,holding
55,Apple,2015,monetize,patents,purchased
56,Apple,2015,significant,patent,portfolios
57,Apple,2015,number,patent,claims
58,Apple,2015,validity,patents,intellectual
59,Apple,2015,one,patents,intellectual
60,Apple,2014,number,patents,copyrights
61,Apple,2014,numerous,patents,trademarks
62,Apple,2014,allegations,patent,infringement
63,Apple,2014,addition,patent,holding
64,Apple,2014,monetize,patents,purchased
65,Apple,2014,significant,patent,portfolios
66,Apple,2014,number,patent,claims
67,Apple,2014,validity,patents,intellectual
68,Apple,2014,one,patents,intellectual
69,Apple,2016,number,patents,copyrights
70,Apple,2016,numerous,patents,trademarks
71,Apple,2016,allegations,patent,infringement
72,Apple,2016,addition,patent,holding
73,Apple,2016,monetize,patents,purchased
74,Apple,2016,significant,patent,portfolios
75,Apple,2016,number,patent,claims
76,Apple,2016,validity,patents,intellectual
77,Apple,2016,one,patents,intellectual
78,Apple,2017,number,patents,copyrights
79,Apple,2017,numerous,patents,trademarks
80,Apple,2017,allegations,patent,infringement
81,Apple,2017,number,patent,claims
82,Apple,2017,assert,patents,seek
83,Apple,2017,allegations,patent,infringement
84,Intel,2018,regard,patents,copyrights
85,Intel,2018,use,patent,rights
86,Intel,2018,license,patents,settle
87,Intel,2018,licenses,patents,current
88,Intel,2018,exhaust,patent,rights
89,Intel,2018,license,patents,companies
90,Intel,2018,licenses,patents,little
91,Intel,2018,certain,patents,others
92,Intel,2018,protecting,patents,may
93,Intel,2018,aggregated,patents,acquired
94,Intel,2018,large,patent,portfolio
95,Intel,2018,licensing,patents,unfavorable
