gvkey,conm
1004,AAR CORP
1004,AAR CORP
1004,AAR CORP
1004,AAR CORP
1004,AAR CORP
1004,AAR CORP
1004,AAR CORP
1004,AAR CORP
1004,AAR CORP
1013,ADC TELECOMMUNICATIONS INC
1045,AMERICAN AIRLINES GROUP INC
1045,AMERICAN AIRLINES GROUP INC
1045,AMERICAN AIRLINES GROUP INC
1045,AMERICAN AIRLINES GROUP INC
1045,AMERICAN AIRLINES GROUP INC
1045,AMERICAN AIRLINES GROUP INC
1045,AMERICAN AIRLINES GROUP INC
1045,AMERICAN AIRLINES GROUP INC
1045,AMERICAN AIRLINES GROUP INC
1050,CECO ENVIRONMENTAL CORP
1050,CECO ENVIRONMENTAL CORP
1050,CECO ENVIRONMENTAL CORP
1050,CECO ENVIRONMENTAL CORP
1050,CECO ENVIRONMENTAL CORP
1050,CECO ENVIRONMENTAL CORP
1050,CECO ENVIRONMENTAL CORP
1050,CECO ENVIRONMENTAL CORP
1050,CECO ENVIRONMENTAL CORP
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1062,ASA GOLD AND PRECIOUS METALS
1072,AVX CORP
1072,AVX CORP
1072,AVX CORP
1072,AVX CORP
1072,AVX CORP
1072,AVX CORP
1072,AVX CORP
1072,AVX CORP
1072,AVX CORP
1072,AVX CORP
1075,PINNACLE WEST CAPITAL CORP
1075,PINNACLE WEST CAPITAL CORP
1075,PINNACLE WEST CAPITAL CORP
1075,PINNACLE WEST CAPITAL CORP
1075,PINNACLE WEST CAPITAL CORP
1075,PINNACLE WEST CAPITAL CORP
1075,PINNACLE WEST CAPITAL CORP
1075,PINNACLE WEST CAPITAL CORP
1075,PINNACLE WEST CAPITAL CORP
1076,AARON'S INC
1076,AARON'S INC
1076,AARON'S INC
1076,AARON'S INC
1076,AARON'S INC
1076,AARON'S INC
1076,AARON'S INC
1076,AARON'S INC
1076,AARON'S INC
1078,ABBOTT LABORATORIES
1078,ABBOTT LABORATORIES
1078,ABBOTT LABORATORIES
1078,ABBOTT LABORATORIES
1078,ABBOTT LABORATORIES
1078,ABBOTT LABORATORIES
1078,ABBOTT LABORATORIES
1078,ABBOTT LABORATORIES
1078,ABBOTT LABORATORIES
1082,SERVIDYNE INC
1082,SERVIDYNE INC
1084,WORLDS INC
1084,WORLDS INC
1084,WORLDS INC
1084,WORLDS INC
1084,WORLDS INC
1084,WORLDS INC
1084,WORLDS INC
1084,WORLDS INC
1084,WORLDS INC
1094,ACETO CORP
1094,ACETO CORP
1094,ACETO CORP
1094,ACETO CORP
1094,ACETO CORP
1094,ACETO CORP
1094,ACETO CORP
1094,ACETO CORP
1094,ACETO CORP
1096,MORGUARD CORP
1096,MORGUARD CORP
1096,MORGUARD CORP
1096,MORGUARD CORP
1096,MORGUARD CORP
1096,MORGUARD CORP
1096,MORGUARD CORP
1096,MORGUARD CORP
1096,MORGUARD CORP
1097,ACMAT CORP  -CL A
1097,ACMAT CORP  -CL A
1097,ACMAT CORP  -CL A
1097,ACMAT CORP  -CL A
1097,ACMAT CORP  -CL A
1097,ACMAT CORP  -CL A
1097,ACMAT CORP  -CL A
1097,ACMAT CORP  -CL A
1104,ACME UNITED CORP
1104,ACME UNITED CORP
1104,ACME UNITED CORP
1104,ACME UNITED CORP
1104,ACME UNITED CORP
1104,ACME UNITED CORP
1104,ACME UNITED CORP
1104,ACME UNITED CORP
1104,ACME UNITED CORP
1117,BK TECHNOLOGIES CORP
1117,BK TECHNOLOGIES CORP
1117,BK TECHNOLOGIES CORP
1117,BK TECHNOLOGIES CORP
1117,BK TECHNOLOGIES CORP
1117,BK TECHNOLOGIES CORP
1117,BK TECHNOLOGIES CORP
1117,BK TECHNOLOGIES CORP
1117,BK TECHNOLOGIES CORP
1119,ADAMS DIVERSIFIED EQUITY FD
1119,ADAMS DIVERSIFIED EQUITY FD
1119,ADAMS DIVERSIFIED EQUITY FD
1119,ADAMS DIVERSIFIED EQUITY FD
1119,ADAMS DIVERSIFIED EQUITY FD
1119,ADAMS DIVERSIFIED EQUITY FD
1119,ADAMS DIVERSIFIED EQUITY FD
1119,ADAMS DIVERSIFIED EQUITY FD
1119,ADAMS DIVERSIFIED EQUITY FD
1121,ADAMS RESOURCES & ENERGY INC
1121,ADAMS RESOURCES & ENERGY INC
1121,ADAMS RESOURCES & ENERGY INC
1121,ADAMS RESOURCES & ENERGY INC
1121,ADAMS RESOURCES & ENERGY INC
1121,ADAMS RESOURCES & ENERGY INC
1121,ADAMS RESOURCES & ENERGY INC
1121,ADAMS RESOURCES & ENERGY INC
1121,ADAMS RESOURCES & ENERGY INC
1161,ADVANCED MICRO DEVICES
1161,ADVANCED MICRO DEVICES
1161,ADVANCED MICRO DEVICES
1161,ADVANCED MICRO DEVICES
1161,ADVANCED MICRO DEVICES
1161,ADVANCED MICRO DEVICES
1161,ADVANCED MICRO DEVICES
1161,ADVANCED MICRO DEVICES
1161,ADVANCED MICRO DEVICES
1166,ASM INTERNATIONAL NV
1166,ASM INTERNATIONAL NV
1166,ASM INTERNATIONAL NV
1166,ASM INTERNATIONAL NV
1166,ASM INTERNATIONAL NV
1166,ASM INTERNATIONAL NV
1166,ASM INTERNATIONAL NV
1166,ASM INTERNATIONAL NV
1166,ASM INTERNATIONAL NV
1173,AEROSONIC CORP
1173,AEROSONIC CORP
1173,AEROSONIC CORP
1173,AEROSONIC CORP
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1177,AETNA INC
1186,AGNICO EAGLE MINES LTD
1186,AGNICO EAGLE MINES LTD
1186,AGNICO EAGLE MINES LTD
1186,AGNICO EAGLE MINES LTD
1186,AGNICO EAGLE MINES LTD
1186,AGNICO EAGLE MINES LTD
1186,AGNICO EAGLE MINES LTD
1186,AGNICO EAGLE MINES LTD
1186,AGNICO EAGLE MINES LTD
1209,AIR PRODUCTS & CHEMICALS INC
1209,AIR PRODUCTS & CHEMICALS INC
1209,AIR PRODUCTS & CHEMICALS INC
1209,AIR PRODUCTS & CHEMICALS INC
1209,AIR PRODUCTS & CHEMICALS INC
1209,AIR PRODUCTS & CHEMICALS INC
1209,AIR PRODUCTS & CHEMICALS INC
1209,AIR PRODUCTS & CHEMICALS INC
1209,AIR PRODUCTS & CHEMICALS INC
1210,AIR T INC
1210,AIR T INC
1210,AIR T INC
1210,AIR T INC
1210,AIR T INC
1210,AIR T INC
1210,AIR T INC
1210,AIR T INC
1210,AIR T INC
1224,ALABAMA GAS CORP
1224,ALABAMA GAS CORP
1224,ALABAMA GAS CORP
1224,ALABAMA GAS CORP
1224,ALABAMA GAS CORP
1224,ALABAMA GAS CORP
1224,ALABAMA GAS CORP
1224,ALABAMA GAS CORP
1224,ALABAMA GAS CORP
1225,ALABAMA POWER CO
1225,ALABAMA POWER CO
1225,ALABAMA POWER CO
1225,ALABAMA POWER CO
1225,ALABAMA POWER CO
1225,ALABAMA POWER CO
1225,ALABAMA POWER CO
1225,ALABAMA POWER CO
1225,ALABAMA POWER CO
1228,ALANCO TECHNOLOGIES INC
1228,ALANCO TECHNOLOGIES INC
1228,ALANCO TECHNOLOGIES INC
1228,ALANCO TECHNOLOGIES INC
1228,ALANCO TECHNOLOGIES INC
1228,ALANCO TECHNOLOGIES INC
1228,ALANCO TECHNOLOGIES INC
1230,ALASKA AIR GROUP INC
1230,ALASKA AIR GROUP INC
1230,ALASKA AIR GROUP INC
1230,ALASKA AIR GROUP INC
1230,ALASKA AIR GROUP INC
1230,ALASKA AIR GROUP INC
1230,ALASKA AIR GROUP INC
1230,ALASKA AIR GROUP INC
1230,ALASKA AIR GROUP INC
1234,ATRION CORP
1234,ATRION CORP
1234,ATRION CORP
1234,ATRION CORP
1234,ATRION CORP
1234,ATRION CORP
1234,ATRION CORP
1234,ATRION CORP
1234,ATRION CORP
1239,ALBERTO-CULVER CO
1254,MATSON INC
1254,MATSON INC
1254,MATSON INC
1254,MATSON INC
1254,MATSON INC
1254,MATSON INC
1254,MATSON INC
1254,MATSON INC
1254,MATSON INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1257,ALEXANDER'S INC
1259,TAMIR BIOTHECHNOLOGY INC
1259,TAMIR BIOTHECHNOLOGY INC
1259,TAMIR BIOTHECHNOLOGY INC
1262,ALGOMA CENTRAL CORP
1262,ALGOMA CENTRAL CORP
1262,ALGOMA CENTRAL CORP
1262,ALGOMA CENTRAL CORP
1262,ALGOMA CENTRAL CORP
1262,ALGOMA CENTRAL CORP
1262,ALGOMA CENTRAL CORP
1262,ALGOMA CENTRAL CORP
1262,ALGOMA CENTRAL CORP
1263,ESSAR STEEL ALGOMA INC
1263,ESSAR STEEL ALGOMA INC
1263,ESSAR STEEL ALGOMA INC
1263,ESSAR STEEL ALGOMA INC
1263,ESSAR STEEL ALGOMA INC
1266,ALICO INC
1266,ALICO INC
1266,ALICO INC
1266,ALICO INC
1266,ALICO INC
1266,ALICO INC
1266,ALICO INC
1266,ALICO INC
1266,ALICO INC
1272,ALL STATE PROPERTIES HLDGS
1272,ALL STATE PROPERTIES HLDGS
1272,ALL STATE PROPERTIES HLDGS
1272,ALL STATE PROPERTIES HLDGS
1272,ALL STATE PROPERTIES HLDGS
1272,ALL STATE PROPERTIES HLDGS
1272,ALL STATE PROPERTIES HLDGS
1272,ALL STATE PROPERTIES HLDGS
1272,ALL STATE PROPERTIES HLDGS
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1274,ALLEGHANY CORP
1279,ALLEGHENY ENERGY INC
1300,HONEYWELL INTERNATIONAL INC
1300,HONEYWELL INTERNATIONAL INC
1300,HONEYWELL INTERNATIONAL INC
1300,HONEYWELL INTERNATIONAL INC
1300,HONEYWELL INTERNATIONAL INC
1300,HONEYWELL INTERNATIONAL INC
1300,HONEYWELL INTERNATIONAL INC
1300,HONEYWELL INTERNATIONAL INC
1300,HONEYWELL INTERNATIONAL INC
1308,ALLIS-CHALMERS ENERGY INC
1327,SKYWORKS SOLUTIONS INC
1327,SKYWORKS SOLUTIONS INC
1327,SKYWORKS SOLUTIONS INC
1327,SKYWORKS SOLUTIONS INC
1327,SKYWORKS SOLUTIONS INC
1327,SKYWORKS SOLUTIONS INC
1327,SKYWORKS SOLUTIONS INC
1327,SKYWORKS SOLUTIONS INC
1327,SKYWORKS SOLUTIONS INC
1331,ALPINE GROUP INC
1331,ALPINE GROUP INC
1331,ALPINE GROUP INC
1352,ARROW DOW JONES GLBL YLD ETF
1352,ARROW DOW JONES GLBL YLD ETF
1352,ARROW DOW JONES GLBL YLD ETF
1352,ARROW DOW JONES GLBL YLD ETF
1352,ARROW DOW JONES GLBL YLD ETF
1352,ARROW DOW JONES GLBL YLD ETF
1352,ARROW DOW JONES GLBL YLD ETF
1356,ALCOA INC
1356,ALCOA INC
1356,ALCOA INC
1356,ALCOA INC
1356,ALCOA INC
1356,ALCOA INC
1367,AMBER RESOURCES CO OF COLO
1367,AMBER RESOURCES CO OF COLO
1380,HESS CORP
1380,HESS CORP
1380,HESS CORP
1380,HESS CORP
1380,HESS CORP
1380,HESS CORP
1380,HESS CORP
1380,HESS CORP
1380,HESS CORP
1382,US AIRWAYS GROUP INC
1382,US AIRWAYS GROUP INC
1382,US AIRWAYS GROUP INC
1388,AMERICAN AIRLINES INC
1388,AMERICAN AIRLINES INC
1388,AMERICAN AIRLINES INC
1388,AMERICAN AIRLINES INC
1388,AMERICAN AIRLINES INC
1388,AMERICAN AIRLINES INC
1388,AMERICAN AIRLINES INC
1388,AMERICAN AIRLINES INC
1388,AMERICAN AIRLINES INC
1393,AMERCO
1393,AMERCO
1393,AMERCO
1393,AMERCO
1393,AMERCO
1393,AMERCO
1393,AMERCO
