,year,url,type,list index out of range TIME,'Bidder',"Could not get first item for //table[@cellpadding=""3""] query of class XpathSelector INFO",local variable 'df' referenced before assignment,1 TIME,Connection Faild,"can only concatenate str (not ""float"") to str"
0,1998,https://www.muniauction.com/pma/results/SanFranciscoRDA.98D.CABS.AON/best_bids.html,Bond,1.0,,,,,,
1,1998,https://www.muniauction.com/pma/results/SanFranciscoRDA.98D.CABS.AON/best_bids.html,Bond,,1.0,,,,,
2,1998,https://www.muniauction.com/pma/results/VolusiaCnty.FL.Series1998.AON/best_bids.html,Bond,1.0,,,,,,
3,1998,https://www.muniauction.com/pma/results/VolusiaCnty.FL.Series1998.AON/best_bids.html,Bond,,1.0,,,,,
4,1998,https://www.muniauction.com/pma/results/Pittsburgh.1998TaxableGOBonds.MBM/best_bids.html,Bond,1.0,,,,,,
5,1998,https://www.muniauction.com/pma/results/Pittsburgh.1998TaxableGOBonds.MBM/best_bids.html,Bond,,1.0,,,,,
6,1998,https://www.muniauction.com/pma/results/Ft.Lauderdale.GO.1998.MBM/best_bids.html,Bond,1.0,,,,,,
7,1998,https://www.muniauction.com/pma/results/Ft.Lauderdale.GO.1998.MBM/best_bids.html,Bond,,1.0,,,,,
8,1998,https://www.muniauction.com/pma/results/Ft.Lauderdale.ExciseTax.1998.AON/best_bids.html,Bond,1.0,,,,,,
9,1998,https://www.muniauction.com/pma/results/Ft.Lauderdale.ExciseTax.1998.AON/best_bids.html,Bond,,1.0,,,,,
10,1998,https://www.muniauction.com/pma/results/TennesseeStateSchoolBondAuthority.98SeriesBTAXABLE/best_bids.html,Bond,1.0,,,,,,
11,1998,https://www.muniauction.com/pma/results/TennesseeStateSchoolBondAuthority.98SeriesBTAXABLE/best_bids.html,Bond,,1.0,,,,,
12,1998,https://www.muniauction.com/pma/results/Portland.1998A.AON/best_bids.html,Bond,1.0,,,,,,
13,1998,https://www.muniauction.com/pma/results/Portland.1998A.AON/best_bids.html,Bond,,1.0,,,,,
14,1998,https://www.muniauction.com/pma/results/PittsburghWaterAndSewer.SeriesB.MBM/best_bids.html,Bond,1.0,,,,,,
15,1998,https://www.muniauction.com/pma/results/PittsburghWaterAndSewer.SeriesB.MBM/best_bids.html,Bond,,1.0,,,,,
16,1998,https://www.muniauction.com/pma/results/Ft.Lauderdale.ExciseTax.1998C.AON/best_bids.html,Bond,1.0,,,,,,
17,1998,https://www.muniauction.com/pma/results/Ft.Lauderdale.ExciseTax.1998C.AON/best_bids.html,Bond,,1.0,,,,,
18,1998,https://www.muniauction.com/pma/results/PinellasCty.TranspRevBonds.1998/best_bids.html,Bond,1.0,,,,,,
19,1998,https://www.muniauction.com/pma/results/PinellasCty.TranspRevBonds.1998/best_bids.html,Bond,,1.0,,,,,
20,1998,https://www.muniauction.com/pma/results/NorthKCHospital.1998.AON/best_bids.html,Bond,1.0,,,,,,
21,1998,https://www.muniauction.com/pma/results/NorthKCHospital.1998.AON/best_bids.html,Bond,,1.0,,,,,
