,year,url,type,Connection Faild,"Could not get first item for //a[contains(text(), ""Selections"")]//@href query of class XpathSelector INFO","Could not get first item for //input[@value=""View Terms""]/@onclick query of class XpathSelector INFO","Could not get first item for //table[@cellpadding=""1""][1] query of class XpathSelector INFO"
0,2006,https://www.pdxauction.com/pma/results/Portland.TAN.06.AON/bid_summary.html,Note,1.0,,,
1,2011,https://www.bidumbaugh.com/pma/results/Noblesville.Cty.SWRB.11.AON/bid_summary.html,Bond,1.0,,,
2,2001,https://www.davidsonbondauction.com/pma/results/Omaha.NE.Various.Purpose.01.AON/bid_summary.html,Bond,1.0,,,
3,2007,https://www.bidumbaugh.com/pma/results/Warrick.Cnty.FM.08.AON/bid_summary.html,Bond,1.0,,,
4,2011,https://www.bidumbaugh.com/pma/results/Warsaw.Cty.STDB.11.AON/bid_summary.html,Bond,1.0,,,
5,2007,https://www.bidumbaugh.com/pma/results/Warrick.Cnty.FM.07.AON/bid_summary.html,Bond,1.0,,,
6,2007,https://www.bidumbaugh.com/pma/results/Jasper.Cnty.FM.07.AON/bid_summary.html,Bond,1.0,,,
7,2006,https://www.davidsonbondauction.com/pma/results/Sherman.Cnty.GOST.06.AON/bid_summary.html,Bond,1.0,,,
8,1999,https://www.firstswauction.com/pma/results/Corsicana.TX.WaterAndSewerRevBonds.1999A.AON/bid_summary.html,Bond,1.0,,,
9,2001,https://www.shattuckhammondauction.com/pma/results/Lehigh.Valley.Hosp.Revs.01.AON/bid_summary.html,Bond,1.0,,,
10,2006,https://www.davidsonbondauction.com/pma/results/Douglas.Cnty.Millard.GOS.06.AON/bid_summary.html,Bond,1.0,,,
11,1999,https://www.muniauction.com/pma/results/Milwaukee.RANs.1999B/bid_summary.html,Note,,1.0,,
12,2006,https://www.bidumbaugh.com/pma/results/Lafayette.Cty.SWR.06.AON/bid_summary.html,Bond,1.0,,,
13,2007,https://www.bidumbaugh.com/pma/results/Greenfield.MSBC.FM.07.AON/bid_summary.html,Bond,1.0,,,
14,2001,https://www.davidsonbondauction.com/pma/results/Lexington-Fayette.UCG.RBs.01A.AON/bid_summary.html,Bond,1.0,,,
